 ,Label,Area,Mean,Min,Max,Perim.
1,frame_0030.png:0001-0889,41.369,95.733,11,136,27.214
2,frame_0030.png:0002-1069,42.420,95.690,7,168,28.608
3,frame_0030.png:0003-1284,41.207,95.162,4,136,27.985
4,frame_0030.png:0001-0889,41.468,94.842,11,136,27.260
5,frame_0030.png:0002-1069,42.676,94.571,7,168,28.132
6,frame_0030.png:0003-1284,41.474,94.085,4,136,27.697
7,frame_0030.png:0001-0890,41.636,94.097,11,136,27.345
8,frame_0030.png:0002-1069,42.713,93.825,7,168,28.178
9,frame_0030.png:0003-1284,41.667,93.390,4,136,27.501
10,frame_0030.png:0001-0890,41.898,93.663,11,136,27.418
11,frame_0030.png:0002-1069,42.744,93.766,7,168,28.282
12,frame_0030.png:0003-1285,41.848,92.922,4,136,27.874
13,frame_0030.png:0001-0890,41.997,93.297,11,136,27.372
14,frame_0030.png:0002-1070,43.192,92.875,7,168,28.066
15,frame_0030.png:0003-1285,42.302,92.084,4,136,28.012
16,frame_0030.png:0001-0890,42.165,92.788,11,136,27.549
17,frame_0030.png:0002-1070,43.261,92.486,7,168,28.466
18,frame_0030.png:0003-1285,42.458,91.807,4,136,28.143
19,frame_0030.png:0001-0891,42.128,92.562,11,136,27.614
20,frame_0030.png:0002-1071,43.267,92.340,7,168,28.243
21,frame_0030.png:0003-1286,42.607,91.344,4,136,28.274
22,frame_0030.png:0001-0891,42.595,91.987,11,136,27.549
23,frame_0030.png:0002-1071,43.821,91.639,7,168,28.447
24,frame_0030.png:0003-1286,43.074,90.545,4,136,28.385
25,frame_0030.png:0001-0891,42.564,91.837,11,136,27.614
26,frame_0030.png:0002-1071,43.802,91.386,7,168,28.736
27,frame_0030.png:0003-1285,43.093,90.264,4,136,28.497
28,frame_0030.png:0001-0891,42.956,91.420,11,136,27.818
29,frame_0030.png:0002-1071,44.219,90.951,7,168,28.651
30,frame_0030.png:0003-1286,43.746,89.488,4,136,28.458
31,frame_0030.png:0001-0891,43.261,91.236,11,136,27.910
32,frame_0030.png:0002-1070,44.680,90.639,7,168,28.847
33,frame_0030.png:0003-1286,44.132,89.040,4,136,28.505
34,frame_0030.png:0001-0891,43.099,91.168,11,136,27.930
35,frame_0030.png:0002-1071,44.549,90.526,7,168,28.690
36,frame_0030.png:0003-1286,43.902,89.075,4,136,28.505
37,frame_0030.png:0001-0891,43.111,90.866,11,136,27.799
