 ,Label,Area,Mean,Min,Max,Perim.
1,frame3_0021.png:0001-0899,47.082,103.378,15,118,29.119
2,frame3_0021.png:0002-1079,49.360,98.421,14,157,30.110
3,frame3_0021.png:0003-1295,49.671,99.327,13,118,30.102
4,frame3_0021.png:0001-0899,47.150,103.384,10,118,28.988
5,frame3_0021.png:0002-1080,49.596,98.290,13,157,30.267
6,frame3_0021.png:0003-1295,49.895,99.255,13,118,30.594
7,frame3_0021.png:0001-0899,47.113,103.556,15,118,29.007
8,frame3_0021.png:0002-1080,49.472,98.527,14,157,30.090
9,frame3_0021.png:0003-1295,50.057,99.178,13,118,30.567
10,frame3_0021.png:0001-0899,47.462,103.252,10,118,29.211
11,frame3_0021.png:0002-1080,49.771,98.349,13,157,30.314
12,frame3_0021.png:0003-1295,50.244,99.100,13,118,30.390
13,frame3_0021.png:0001-0899,47.455,103.376,10,118,29.211
14,frame3_0021.png:0002-1080,49.652,98.493,13,157,30.267
15,frame3_0021.png:0003-1295,50.405,99.085,13,118,30.371
16,frame3_0021.png:0001-0899,47.294,103.755,20,118,29.053
17,frame3_0021.png:0002-1080,49.484,98.835,14,157,30.706
18,frame3_0021.png:0003-1295,50.026,99.437,13,118,30.455
19,frame3_0021.png:0001-0899,47.642,103.636,20,118,29.295
20,frame3_0021.png:0002-1080,49.939,98.707,14,157,30.267
21,frame3_0021.png:0003-1296,50.486,99.300,13,118,30.502
22,frame3_0021.png:0001-0899,47.462,103.873,20,118,29.249
23,frame3_0021.png:0002-1080,49.739,98.940,14,157,30.333
24,frame3_0021.png:0003-1296,50.374,99.445,13,118,30.567
25,frame3_0021.png:0001-0899,47.742,103.634,20,118,29.388
26,frame3_0021.png:0002-1080,50.094,98.674,14,157,30.156
27,frame3_0021.png:0003-1296,50.754,99.216,13,118,30.725
28,frame3_0021.png:0001-0900,47.679,103.728,18,118,29.276
29,frame3_0021.png:0002-1080,49.932,98.843,14,157,30.267
30,frame3_0021.png:0003-1296,50.648,99.307,13,118,30.744
31,frame3_0021.png:0001-0899,47.530,103.882,20,118,29.165
32,frame3_0021.png:0002-1080,49.939,98.916,14,157,30.529
33,frame3_0021.png:0003-1296,50.511,99.422,16,118,30.687
34,frame3_0021.png:0001-0899,47.026,104.069,20,118,29.165
35,frame3_0021.png:0002-1080,49.080,99.267,13,157,30.148
36,frame3_0021.png:0003-1295,49.851,99.625,16,118,30.390
37,frame3_0021.png:0001-0899,47.157,103.897,20,118,29.276
38,frame3_0021.png:0002-1080,49.453,98.996,13,157,30.306
39,frame3_0021.png:0003-1295,50.038,99.507,16,118,30.483
40,frame3_0021.png:0001-0900,47.225,103.964,20,118,29.119
41,frame3_0021.png:0002-1080,49.347,99.219,14,157,30.221
42,frame3_0021.png:0003-1295,50.013,99.634,16,118,30.455
43,frame3_0021.png:0001-0900,47.312,103.876,18,118,29.276
44,frame3_0021.png:0002-1080,49.528,99.052,13,157,30.352
45,frame3_0021.png:0003-1296,50.069,99.588,16,118,30.502
46,frame3_0021.png:0001-0900,47.001,104.267,20,118,29.007
47,frame3_0021.png:0002-1080,48.980,99.506,14,157,30.259
48,frame3_0021.png:0003-1295,49.634,99.922,16,118,30.428
49,frame3_0021.png:0001-0900,47.213,104.078,20,118,29.072
50,frame3_0021.png:0002-1080,49.260,99.304,14,157,30.371
51,frame3_0021.png:0003-1296,49.864,99.793,16,118,30.717
52,frame3_0021.png:0001-0900,47.020,104.377,20,118,29.203
53,frame3_0021.png:0002-1080,49.354,99.380,14,157,30.314
54,frame3_0021.png:0003-1295,49.746,99.906,16,118,30.624
55,frame3_0021.png:0001-0900,47.063,104.320,23,118,29.007
56,frame3_0021.png:0002-1080,49.074,99.555,13,157,30.306
57,frame3_0021.png:0003-1296,49.721,99.958,16,118,30.894
58,frame3_0021.png:0001-0900,46.883,104.471,21,118,29.249
59,frame3_0021.png:0002-1081,48.806,99.723,14,157,31.425
60,frame3_0021.png:0003-1295,49.453,100.152,16,118,30.951
61,frame3_0021.png:0001-0900,46.895,104.527,20,118,29.119
62,frame3_0021.png:0002-1080,48.843,99.760,14,157,30.771
63,frame3_0021.png:0003-1296,49.578,100.101,16,118,30.382
64,frame3_0021.png:0001-0900,46.839,104.577,25,118,29.026
65,frame3_0021.png:0002-1080,48.781,99.776,14,157,30.779
66,frame3_0021.png:0003-1296,49.266,100.317,16,118,30.448
67,frame3_0021.png:0001-0900,47.057,104.443,20,118,29.007
68,frame3_0021.png:0002-1081,48.887,99.800,14,157,30.259
69,frame3_0021.png:0003-1297,49.640,100.109,16,118,30.336
70,frame3_0021.png:0001-0900,47.063,104.440,23,118,28.988
71,frame3_0021.png:0002-1080,48.955,99.692,13,157,30.436
72,frame3_0021.png:0003-1296,49.727,100.000,16,118,30.586
73,frame3_0021.png:0001-0900,47.225,104.329,20,118,29.165
74,frame3_0021.png:0002-1080,49.192,99.532,14,157,30.129
75,frame3_0021.png:0003-1296,50.107,99.730,16,118,30.986
76,frame3_0021.png:0001-0901,47.343,104.547,23,118,29.211
77,frame3_0021.png:0002-1081,49.360,99.769,14,157,30.232
78,frame3_0021.png:0003-1297,50.356,99.943,16,118,30.782
79,frame3_0021.png:0001-0900,47.356,104.523,23,118,29.119
80,frame3_0021.png:0002-1081,49.298,99.808,14,157,31.375
81,frame3_0021.png:0003-1297,50.219,99.991,16,118,31.071
82,frame3_0021.png:0001-0901,47.119,104.786,29,118,29.146
83,frame3_0021.png:0002-1081,49.466,99.711,14,157,30.687
84,frame3_0021.png:0003-1296,50.088,100.100,16,118,30.540
85,frame3_0021.png:0001-0902,48.252,104.590,45,118,29.676
86,frame3_0021.png:0002-1083,50.766,99.575,51,157,30.779
87,frame3_0021.png:0003-1298,51.669,99.690,48,118,31.013
88,frame3_0021.png:0001-0902,48.053,104.757,50,118,29.499
89,frame3_0021.png:0002-1083,50.511,99.746,55,157,30.891
90,frame3_0021.png:0003-1299,51.588,99.737,44,118,31.190
91,frame3_0021.png:0001-0902,48.022,104.779,51,118,29.499
92,frame3_0021.png:0002-1083,50.405,99.810,53,157,30.594
93,frame3_0021.png:0003-1298,51.140,100.048,50,118,31.394
94,frame3_0021.png:0001-0901,48.047,104.793,61,118,29.388
95,frame3_0021.png:0002-1083,50.455,99.832,62,157,30.883
96,frame3_0021.png:0003-1298,51.351,99.958,61,118,31.209
